BarChartType,ModelName,SamplingTarget,SamplingMethod,DownSamplingLevel,RunIndex,MeanError
2,VGG19,Height,COV,2,2,0.015187557
2,VGG19,Height,COV,2,3,0.009328181999999997
2,VGG19,Height,COV,2,4,0.0124791065
2,VGG19,Height,COV,4,0,0.017864658
2,VGG19,Height,COV,4,1,0.017904705
2,VGG19,Height,COV,4,2,0.032307937499999995
2,VGG19,Height,COV,4,3,0.0211505005
2,VGG19,Height,COV,4,4,0.020776856
2,VGG19,Height,COV,8,0,0.033493438
2,VGG19,Height,COV,8,1,0.0380417845
2,VGG19,Height,COV,8,2,0.047570039
2,VGG19,Height,COV,8,3,0.030158072499999997
2,VGG19,Height,COV,8,4,0.024339748499999998
2,VGG19,Height,COV,16,0,0.0603737575
2,VGG19,Height,COV,16,1,0.0636797915
2,VGG19,Height,COV,16,2,0.103939234
2,VGG19,Height,COV,16,3,0.0698406935
2,VGG19,Height,COV,16,4,0.0474063655
2,VGG19,Height,ADV,2,0,0.029366399999999997
2,VGG19,Height,ADV,2,1,0.0325233615
2,VGG19,Height,ADV,2,2,0.1192259
2,VGG19,Height,ADV,2,3,0.021318754999999998
2,VGG19,Height,ADV,2,4,0.0173146135
2,VGG19,Height,ADV,4,0,0.0347174645
2,VGG19,Height,ADV,4,1,0.12078756699999998
2,VGG19,Height,ADV,4,2,0.181180638
2,VGG19,Height,ADV,4,3,0.0716284095
2,VGG19,Height,ADV,4,4,0.066734149
2,VGG19,Height,ADV,8,0,0.1228153595
2,VGG19,Height,ADV,8,1,0.32812965450000003
2,VGG19,Height,ADV,8,2,0.274336789
2,VGG19,Height,ADV,8,3,0.403057089
2,VGG19,Height,ADV,8,4,0.12967154949999998
2,VGG19,Height,ADV,16,0,0.125053716
2,VGG19,Height,ADV,16,1,0.3104611955
2,VGG19,Height,ADV,16,2,0.31075942500000003
2,VGG19,Height,ADV,16,3,0.35303855349999996
2,VGG19,Height,ADV,16,4,0.273977228
2,VGG19,Height,OOD,2,0,0.037780935
2,VGG19,Height,OOD,2,1,0.054421133
2,VGG19,Height,OOD,2,2,0.040167772
2,VGG19,Height,OOD,2,3,0.030065700499999997
2,VGG19,Height,OOD,2,4,0.08423193
2,VGG19,Height,OOD,4,0,0.127304883
2,VGG19,Height,OOD,4,1,0.12369957899999999
2,VGG19,Height,OOD,4,2,0.09159266149999999
2,VGG19,Height,OOD,4,3,0.1109389985
2,VGG19,Height,OOD,4,4,0.209402263
2,VGG19,Height,OOD,8,0,0.193770948
2,VGG19,Height,OOD,8,1,0.16113722
2,VGG19,Height,OOD,8,2,0.193372896
2,VGG19,Height,OOD,8,3,0.1690416355
2,VGG19,Height,OOD,8,4,0.208042535
2,VGG19,Height,OOD,16,0,0.208089382
2,VGG19,Height,OOD,16,1,0.33423061200000004
2,VGG19,Height,OOD,16,2,0.235699397
2,VGG19,Height,OOD,16,3,0.2857670285
2,VGG19,Height,OOD,16,4,0.23642812749999997
2,ResNet50,Ratio,IID,2,0,0.015421713499999998
2,ResNet50,Ratio,IID,2,1,0.015555263
2,ResNet50,Ratio,IID,2,2,0.0160188735
2,ResNet50,Ratio,IID,2,3,0.014832118
2,ResNet50,Ratio,IID,2,4,0.021465412500000003
2,ResNet50,Ratio,IID,4,0,0.015036667
2,ResNet50,Ratio,IID,4,1,0.0195526355
2,ResNet50,Ratio,IID,4,2,0.0206497885
2,ResNet50,Ratio,IID,4,3,0.0172419825
2,ResNet50,Ratio,IID,4,4,0.0203108755
2,ResNet50,Ratio,IID,8,0,0.022729151
2,ResNet50,Ratio,IID,8,1,0.047010337
2,ResNet50,Ratio,IID,8,2,0.028759913499999998
2,ResNet50,Ratio,IID,8,3,0.059517232999999996
2,ResNet50,Ratio,IID,8,4,0.0419046275
2,ResNet50,Ratio,IID,16,0,0.146743387
2,ResNet50,Ratio,IID,16,1,0.1636834815
2,ResNet50,Ratio,IID,16,2,0.261910403
2,ResNet50,Ratio,IID,16,3,0.1893400485
2,ResNet50,Ratio,IID,16,4,0.114290956
2,ResNet50,Ratio,COV,2,0,0.0147762995
2,ResNet50,Ratio,COV,2,1,0.016315338500000002
2,ResNet50,Ratio,COV,2,2,0.0160615495
2,ResNet50,Ratio,COV,2,3,0.015063367
2,ResNet50,Ratio,COV,2,4,0.024349783000000003
2,ResNet50,Ratio,COV,4,0,0.0188937055
2,ResNet50,Ratio,COV,4,1,0.0150388315
2,ResNet50,Ratio,COV,4,2,0.0209944725
2,ResNet50,Ratio,COV,4,3,0.0163508835
2,ResNet50,Ratio,COV,4,4,0.020730043
2,ResNet50,Ratio,COV,8,0,0.028221382999999996
2,ResNet50,Ratio,COV,8,1,0.02871984
2,ResNet50,Ratio,COV,8,2,0.0246484035
2,ResNet50,Ratio,COV,8,3,0.0189435605
2,ResNet50,Ratio,COV,8,4,0.033129229
2,ResNet50,Ratio,COV,16,0,0.09638572100000001
2,ResNet50,Ratio,COV,16,1,0.1130557535
2,ResNet50,Ratio,COV,16,2,0.151251041
2,ResNet50,Ratio,COV,16,3,0.1485463685
2,ResNet50,Ratio,COV,16,4,0.145500463
2,ResNet50,Ratio,ADV,2,0,0.0276196655
2,ResNet50,Ratio,ADV,2,1,0.016154681
2,ResNet50,Ratio,ADV,2,2,0.017984543999999998
